ELEMENT|NAME OF EXCHANGE|EQUITY - KEY INDICATORS|COUNTRY|TIME|UNIT|VALUE in ACTUALS
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Bangladesh|09/2023|Index|6284.63
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|India|09/2023|Index|19786.045
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Maldives|09/2023|Index|455.93
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Nepal|09/2023|Index|1964.92
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Pakistan|09/2023|Index|45897.701
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|08/2023|Domestic Currency|4.55673E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|08/2023|US dollar|41613982283
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|08/2023|Domestic Currency|3.07249E+14
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|08/2023|US dollar|3.71619E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|08/2023|Domestic Currency|37536436590
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|08/2023|US dollar|2435849227
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|08/2023|Domestic Currency|7.13618E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|08/2023|US dollar|24230919396
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Bangladesh|08/2023|Index|6299.5
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|India|08/2023|Index|19438.28636
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Maldives|08/2023|Index|439.4
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Nepal|08/2023|Index|2033.14
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Pakistan|08/2023|Index|47769.42727
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|07/2023|Domestic Currency|4.56263E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|07/2023|US dollar|41858955963
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|07/2023|Domestic Currency|3.0483E+14
